Actual,Predicted
20.46,20.483568
20.95,21.125717
19.32,18.990015
11.37,10.52599
23.15,22.805872
10.26,10.029906
8.3,8.244812
14.360000000000001,13.27834
16.5,16.504242
22.96,23.090755
22.95,23.06943
19.96,19.687183
17.21,16.21026
19.6,19.642776
21.82,21.836548
20.38,21.396135
18.02,18.146301
19.62,19.523037
24.57,25.229734
6.95,7.6412106
20.45,19.98585
20.73,20.269464
16.24,15.789704
20.24,20.26081
16.36,15.788147
21.1,21.183702
22.48,23.484867
22.36,22.309399
7.039999999999999,8.028112
12.0,12.225724
13.88,13.485014
14.910000000000002,15.1170635
17.03,17.095972
7.779999999999999,7.524405
8.01,8.463523
20.73,20.738165
19.11,19.150293
14.45,14.274746
21.54,21.636293
8.2,9.378779
18.9,18.800383
8.54,9.696147
22.0,22.415764
4.27,5.7373786
19.4,19.104855
18.74,18.928762
11.09,10.426031
20.12,20.005575
17.7,16.721165
8.38,9.183385
20.2,20.31091
12.480000000000002,11.825445
20.34,20.22756
10.55,9.5561905
20.21,19.833162
23.75,23.61276
15.480000000000002,16.871117
10.66,9.921748
13.070000000000002,12.431529
14.000000000000002,13.47494
20.44,20.178831
20.78,20.992228
22.32,22.401285
22.64,22.76287
24.25,23.99357
11.16,10.987992
21.08,20.727875
9.37,9.271137
8.98,8.812832
7.039999999999999,7.353735
17.99,17.528063
20.16,20.232508
17.14,16.539478
20.42,20.063042
9.92,9.321663
26.92,25.979239
14.62,14.863733
22.22,22.137005
23.72,23.863049
9.8,9.973491
21.58,21.804403
20.37,20.307653
7.54,8.50305
18.97,19.041105
22.87,23.465322
7.24,7.7368646
7.97,8.615659
22.16,21.38248
14.79,14.518468
19.73,18.98974
20.61,20.0921
19.67,19.849957
11.61,11.753095
25.45,25.493359
20.52,21.16167
21.33,20.999907
12.67,12.625408
22.05,21.682636
18.85,18.946102
9.88,9.7012205
11.22,10.428201
22.55,22.588076
10.3,10.799599
15.45,16.022936
20.09,19.759558
22.8,22.900387
23.0,22.66847
15.480000000000002,15.025216
15.810000000000002,15.611223
9.24,10.199072
